2025-05-17 03:36:51,267 - INFO - Max recompute ratio candidate: relu__100, ratio: 1023918373.8541253
2025-05-17 03:36:51,297 - INFO - Max recompute ratio candidate: relu__137, ratio: 1023918373.8541253
2025-05-17 03:36:51,326 - INFO - Max recompute ratio candidate: convolution_59, ratio: 1023918373.8541253
2025-05-17 03:36:51,356 - INFO - Max recompute ratio candidate: relu__122, ratio: 1023918373.8541253
2025-05-17 03:36:51,386 - INFO - Max recompute ratio candidate: convolution_122, ratio: 1023918373.8541253
2025-05-17 03:36:51,416 - INFO - Max recompute ratio candidate: convolution_139, ratio: 1023918373.8541253
2025-05-17 03:36:51,445 - INFO - Max recompute ratio candidate: convolution_83, ratio: 1023918373.8541253
2025-05-17 03:36:51,476 - INFO - Max recompute ratio candidate: relu__74, ratio: 1023918373.8541253
2025-05-17 03:36:51,506 - INFO - Max recompute ratio candidate: convolution_91, ratio: 1023918373.8541253
2025-05-17 03:36:51,536 - INFO - Max recompute ratio candidate: relu__136, ratio: 1023918373.8541253
2025-05-17 03:36:51,566 - INFO - Max recompute ratio candidate: relu__49, ratio: 1023918373.8541253
2025-05-17 03:36:51,595 - INFO - Max recompute ratio candidate: relu__71, ratio: 1023918373.8541253
2025-05-17 03:36:51,625 - INFO - Max recompute ratio candidate: relu__140, ratio: 1023918373.8541253
2025-05-17 03:36:51,655 - INFO - Max recompute ratio candidate: convolution_68, ratio: 1023918373.8541253
2025-05-17 03:36:51,685 - INFO - Max recompute ratio candidate: relu__130, ratio: 1023918373.8541253
2025-05-17 03:36:51,715 - INFO - Max recompute ratio candidate: relu__62, ratio: 1023918373.8541253
2025-05-17 03:36:51,744 - INFO - Max recompute ratio candidate: convolution_55, ratio: 1023918373.8541253
2025-05-17 03:36:51,774 - INFO - Max recompute ratio candidate: relu__68, ratio: 1023918373.8541253
2025-05-17 03:36:51,804 - INFO - Max recompute ratio candidate: convolution_106, ratio: 1023918373.8541253
2025-05-17 03:36:51,836 - INFO - Max recompute ratio candidate: relu__41, ratio: 1023918373.8541253
2025-05-17 03:36:51,867 - INFO - Max recompute ratio candidate: convolution_74, ratio: 1023918373.8541253
2025-05-17 03:36:51,899 - INFO - Max recompute ratio candidate: convolution_77, ratio: 1023918373.8541253
2025-05-17 03:36:51,930 - INFO - Max recompute ratio candidate: relu__89, ratio: 1023918373.8541253
2025-05-17 03:36:51,961 - INFO - Max recompute ratio candidate: relu__56, ratio: 1023918373.8541253
2025-05-17 03:36:51,991 - INFO - Max recompute ratio candidate: relu__133, ratio: 1023918373.8541253
2025-05-17 03:36:52,021 - INFO - Max recompute ratio candidate: relu__127, ratio: 1023918373.8541253
2025-05-17 03:36:52,052 - INFO - Max recompute ratio candidate: relu__139, ratio: 1023918373.8541253
2025-05-17 03:36:52,083 - INFO - Max recompute ratio candidate: convolution_97, ratio: 1023918373.8541253
2025-05-17 03:36:52,114 - INFO - Max recompute ratio candidate: convolution_112, ratio: 1023918373.8541253
2025-05-17 03:36:52,144 - INFO - Max recompute ratio candidate: relu__40, ratio: 1023918373.8541253
2025-05-17 03:36:52,173 - INFO - Max recompute ratio candidate: relu__103, ratio: 1023918373.8541253
2025-05-17 03:36:52,205 - INFO - Max recompute ratio candidate: relu__76, ratio: 1023918373.8541253
2025-05-17 03:36:52,235 - INFO - Max recompute ratio candidate: convolution_85, ratio: 1023918373.8541253
