rank,node_name,op_type,node_type,gtype,median_run_time_s,median_peak_mem_bytes,median_active_mem_bytes,creation_rank,last_fw_use_rank,first_bw_use_rank,last_bw_use_rank,memory_size_bytes,inactive_time_s,recomp_time_s,recomp_memory_bytes,device
133,arg0_134,placeholder,parameter,forward,2.5599999353289605e-05,751040512,751040512,-1,-1,-1,-1,1024,0.0,0.0,0,unknown
134,arg0_135,placeholder,parameter,forward,4.198399931192398e-05,751040512,751040512,-1,-1,-1,-1,1024,0.0,0.0,0,unknown
135,arg0_136,placeholder,parameter,forward,4.403200000524521e-05,751040512,751040512,-1,-1,-1,-1,1048576,0.0,0.0,0,unknown
136,arg0_137,placeholder,parameter,forward,3.071999922394752e-05,751040512,751040512,-1,-1,-1,-1,4096,0.0,0.0,0,unknown
137,arg0_138,placeholder,parameter,forward,1.945599913597107e-05,751040512,751040512,-1,-1,-1,-1,4096,0.0,0.0,0,unknown
138,arg0_139,placeholder,parameter,forward,1.8432000651955604e-05,751040512,751040512,-1,-1,-1,-1,1048576,0.0,0.0,0,unknown
139,arg0_140,placeholder,parameter,forward,1.8432000651955604e-05,751040512,751040512,-1,-1,-1,-1,1024,0.0,0.0,0,unknown
140,arg0_141,placeholder,parameter,forward,1.8432000651955604e-05,751040512,751040512,-1,-1,-1,-1,1024,0.0,0.0,0,unknown
141,arg0_142,placeholder,parameter,forward,1.8432000651955604e-05,751040512,751040512,-1,-1,-1,-1,2359296,0.0,0.0,0,unknown
142,arg0_143,placeholder,parameter,forward,1.740800030529499e-05,751040512,751040512,-1,-1,-1,-1,1024,0.0,0.0,0,unknown
143,arg0_144,placeholder,parameter,forward,1.740800030529499e-05,751040512,751040512,-1,-1,-1,-1,1024,0.0,0.0,0,unknown
144,arg0_145,placeholder,parameter,forward,2.969600073993206e-05,751040512,751040512,-1,-1,-1,-1,1048576,0.0,0.0,0,unknown
145,arg0_146,placeholder,parameter,forward,2.6623999699950218e-05,751040512,751040512,-1,-1,-1,-1,4096,0.0,0.0,0,unknown
146,arg0_147,placeholder,parameter,forward,4.095999896526337e-05,751040512,751040512,-1,-1,-1,-1,4096,0.0,0.0,0,unknown
147,arg0_148,placeholder,parameter,forward,1.945599913597107e-05,751040512,751040512,-1,-1,-1,-1,1048576,0.0,0.0,0,unknown
148,arg0_149,placeholder,parameter,forward,1.740800030529499e-05,751040512,751040512,-1,-1,-1,-1,1024,0.0,0.0,0,unknown
149,arg0_150,placeholder,parameter,forward,1.740800030529499e-05,751040512,751040512,-1,-1,-1,-1,1024,0.0,0.0,0,unknown
150,arg0_151,placeholder,parameter,forward,1.945599913597107e-05,751040512,751040512,-1,-1,-1,-1,2359296,0.0,0.0,0,unknown
