activation_name,decision,memory_size_bytes,recomp_time_s,creation_rank,first_bw_use_rank
getitem_356,CHECKPOINT,1024,1e-06,3073,4195
relu__85,CHECKPOINT,802816,0.000784,3075,4191
convolution_89,CHECKPOINT,802816,0.000784,3076,4187
getitem_359,CHECKPOINT,1024,1e-06,3080,4187
getitem_360,CHECKPOINT,1024,1e-06,3081,4187
relu__86,CHECKPOINT,802816,0.000784,3083,4183
convolution_90,RECOMPUTE,3211264,0.003136,3084,4179
getitem_363,CHECKPOINT,4096,4e-06,3088,4179
getitem_364,CHECKPOINT,4096,4e-06,3089,4179
relu__87,CHECKPOINT,3211264,0.003136,3092,4174
convolution_91,CHECKPOINT,802816,0.000784,3093,4170
getitem_367,CHECKPOINT,1024,1e-06,3097,4170
getitem_368,CHECKPOINT,1024,1e-06,3098,4170
relu__88,CHECKPOINT,802816,0.000784,3100,4166
convolution_92,CHECKPOINT,802816,0.000784,3101,4162
getitem_371,CHECKPOINT,1024,1e-06,3105,4162
getitem_372,CHECKPOINT,1024,1e-06,3106,4162
relu__89,CHECKPOINT,802816,0.000784,3108,4158
convolution_93,RECOMPUTE,3211264,0.003136,3109,4154
getitem_375,CHECKPOINT,4096,4e-06,3113,4154
getitem_376,CHECKPOINT,4096,4e-06,3114,4154
relu__90,RECOMPUTE,3211264,0.003136,3117,4149
convolution_94,CHECKPOINT,802816,0.000784,3118,4145
getitem_379,CHECKPOINT,1024,1e-06,3122,4145
getitem_380,CHECKPOINT,1024,1e-06,3123,4145
relu__91,CHECKPOINT,802816,0.000784,3125,4141
convolution_95,CHECKPOINT,802816,0.000784,3126,4137
getitem_383,CHECKPOINT,1024,1e-06,3130,4137
getitem_384,CHECKPOINT,1024,1e-06,3131,4137
relu__92,CHECKPOINT,802816,0.000784,3133,4133
convolution_96,CHECKPOINT,3211264,0.003136,3134,4129
getitem_387,CHECKPOINT,4096,4e-06,3138,4129
getitem_388,CHECKPOINT,4096,4e-06,3139,4129
relu__93,RECOMPUTE,3211264,0.003136,3142,4124
convolution_97,CHECKPOINT,802816,0.000784,3143,4120
getitem_391,CHECKPOINT,1024,1e-06,3147,4120
getitem_392,CHECKPOINT,1024,1e-06,3148,4120
relu__94,CHECKPOINT,802816,0.000784,3150,4116
convolution_98,CHECKPOINT,802816,0.000784,3151,4112
getitem_395,CHECKPOINT,1024,1e-06,3155,4112
getitem_396,CHECKPOINT,1024,1e-06,3156,4112
relu__95,CHECKPOINT,802816,0.000784,3158,4108
convolution_99,CHECKPOINT,3211264,0.003136,3159,4104
getitem_399,CHECKPOINT,4096,4e-06,3163,4104
getitem_400,CHECKPOINT,4096,4e-06,3164,4104
relu__96,RECOMPUTE,3211264,0.003136,3167,4099
convolution_100,CHECKPOINT,802816,0.000784,3168,4095
getitem_403,CHECKPOINT,1024,1e-06,3172,4095
getitem_404,CHECKPOINT,1024,1e-06,3173,4095
relu__97,CHECKPOINT,802816,0.000784,3175,4091
convolution_101,CHECKPOINT,802816,0.000784,3176,4087
getitem_407,CHECKPOINT,1024,1e-06,3180,4087
getitem_408,CHECKPOINT,1024,1e-06,3181,4087
relu__98,CHECKPOINT,802816,0.000784,3183,4083
convolution_102,CHECKPOINT,3211264,0.003136,3184,4079
getitem_411,CHECKPOINT,4096,4e-06,3188,4079
getitem_412,CHECKPOINT,4096,4e-06,3189,4079
relu__99,RECOMPUTE,3211264,0.003136,3192,4074
convolution_103,CHECKPOINT,802816,0.000784,3193,4070
getitem_415,CHECKPOINT,1024,1e-06,3197,4070
getitem_416,CHECKPOINT,1024,1e-06,3198,4070
relu__100,CHECKPOINT,802816,0.000784,3200,4066
convolution_104,CHECKPOINT,802816,0.000784,3201,4062
getitem_419,CHECKPOINT,1024,1e-06,3205,4062
getitem_420,CHECKPOINT,1024,1e-06,3206,4062
relu__101,CHECKPOINT,802816,0.000784,3208,4058
convolution_105,CHECKPOINT,3211264,0.003136,3209,4054
getitem_423,CHECKPOINT,4096,4e-06,3213,4054
getitem_424,CHECKPOINT,4096,4e-06,3214,4054
relu__102,CHECKPOINT,3211264,0.003136,3217,4049
convolution_106,CHECKPOINT,802816,0.000784,3218,4045
getitem_427,CHECKPOINT,1024,1e-06,3222,4045
getitem_428,CHECKPOINT,1024,1e-06,3223,4045
relu__103,CHECKPOINT,802816,0.000784,3225,4041
convolution_107,CHECKPOINT,802816,0.000784,3226,4037
getitem_431,CHECKPOINT,1024,1e-06,3230,4037
getitem_432,CHECKPOINT,1024,1e-06,3231,4037
relu__104,CHECKPOINT,802816,0.000784,3233,4033
convolution_108,RECOMPUTE,3211264,0.003136,3234,4029
getitem_435,CHECKPOINT,4096,4e-06,3238,4029
getitem_436,CHECKPOINT,4096,4e-06,3239,4029
relu__105,RECOMPUTE,3211264,0.003136,3242,4024
convolution_109,CHECKPOINT,802816,0.000784,3243,4020
getitem_439,CHECKPOINT,1024,1e-06,3247,4020
getitem_440,CHECKPOINT,1024,1e-06,3248,4020
relu__106,CHECKPOINT,802816,0.000784,3250,4016
convolution_110,CHECKPOINT,802816,0.000784,3251,4012
getitem_443,CHECKPOINT,1024,1e-06,3255,4012
getitem_444,CHECKPOINT,1024,1e-06,3256,4012
relu__107,CHECKPOINT,802816,0.000784,3258,4008
convolution_111,CHECKPOINT,3211264,0.003136,3259,4004
getitem_447,CHECKPOINT,4096,4e-06,3263,4004
getitem_448,CHECKPOINT,4096,4e-06,3264,4004
relu__108,RECOMPUTE,3211264,0.003136,3267,3999
convolution_112,CHECKPOINT,802816,0.000784,3268,3995
getitem_451,CHECKPOINT,1024,1e-06,3272,3995
getitem_452,CHECKPOINT,1024,1e-06,3273,3995
relu__109,CHECKPOINT,802816,0.000784,3275,3991
convolution_113,CHECKPOINT,802816,0.000784,3276,3987
getitem_455,CHECKPOINT,1024,1e-06,3280,3987
getitem_456,CHECKPOINT,1024,1e-06,3281,3987
relu__110,CHECKPOINT,802816,0.000784,3283,3983
convolution_114,RECOMPUTE,3211264,0.003136,3284,3979
getitem_459,CHECKPOINT,4096,4e-06,3288,3979
getitem_460,CHECKPOINT,4096,4e-06,3289,3979
relu__111,RECOMPUTE,3211264,0.003136,3292,3974
convolution_115,CHECKPOINT,802816,0.000784,3293,3970
getitem_463,CHECKPOINT,1024,1e-06,3297,3970
getitem_464,CHECKPOINT,1024,1e-06,3298,3970
relu__112,CHECKPOINT,802816,0.000784,3300,3966
convolution_116,CHECKPOINT,802816,0.000784,3301,3962
getitem_467,CHECKPOINT,1024,1e-06,3305,3962
getitem_468,CHECKPOINT,1024,1e-06,3306,3962
relu__113,CHECKPOINT,802816,0.000784,3308,3958
convolution_117,CHECKPOINT,3211264,0.003136,3309,3954
getitem_471,CHECKPOINT,4096,4e-06,3313,3954
getitem_472,CHECKPOINT,4096,4e-06,3314,3954
relu__114,CHECKPOINT,3211264,0.003136,3317,3949
convolution_118,CHECKPOINT,802816,0.000784,3318,3945
getitem_475,CHECKPOINT,1024,1e-06,3322,3945
getitem_476,CHECKPOINT,1024,1e-06,3323,3945
relu__115,CHECKPOINT,802816,0.000784,3325,3941
